question,answer
hi hello hey,"Hello! I am Aishwarya Personal AI. Ask me about Aishwarya Dalvi."
who is aishwarya about aishwarya tell me about aishwarya,"Aishwarya Dalvi is a final year B.Sc Computer Science student, Full-Stack Developer, and AI enthusiast from Mumbai, India."
aishwarya skills skills of aishwarya technical skills,"Aishwarya is skilled in Python, HTML, CSS, JavaScript, React, TypeScript, Node.js, MySQL, SQLite, Machine Learning, Natural Language Processing, and basic Data Structures and Algorithms."
programming languages known,"Aishwarya knows Python, JavaScript, and basic SQL for database management."
aishwarya internship internship experience pythonic lab,"Aishwarya completed an internship at Pythonic Lab where she gained real-world experience in Python development, building applications, and working with practical programming concepts."
aishwarya ml nlp experience ai experience,"Aishwarya has completed training and projects in Machine Learning and Natural Language Processing, including building AI-based applications and chatbots."
aishwarya project projects fitnova project,"Aishwarya developed FitNova – Your Smart Fitness Companion using React, TypeScript, Tailwind CSS, Strapi, SQLite, and Gemini AI. It helps users track fitness, calories, and health using AI."
other projects project work,"Aishwarya has built multiple projects including Student Performance Management System, AI Chatbot, CRUD Web Apps, and fitness-related applications."
aishwarya education qualification,"Aishwarya is pursuing her final year B.Sc Computer Science from University of Mumbai."
aishwarya interests hobbies,"Aishwarya enjoys coding, building real-world applications, UI design, and learning new AI technologies."
aishwarya goal future goal career goal,"Aishwarya aims to become a professional AI/ML Engineer and Full-Stack Developer."
strengths strengths of aishwarya,"Aishwarya is a quick learner, passionate developer, and enjoys solving real-world problems using technology."
contact aishwarya contact details email,"You can contact Aishwarya Dalvi through her email, LinkedIn, or portfolio website."
where aishwarya from location address,"Aishwarya Dalvi is based in Mumbai, Maharashtra, India."
languages known languages,"Aishwarya is fluent in English, Hindi, and Marathi."
resume cv portfolio,"You can view Aishwarya's resume and portfolio to know more about her skills, projects, and experience."
